disease,description
perirectal infection,"Chronic granulomatous disease (CGD) is a primary immunodeficiency disorder of phagocytes (neutrophils, monocytes, macrophages, and eosinophils) resulting from impaired killing of bacteria and fungi. CGD is characterized by severe recurrent bacterial and fungal infections and dysregulated inflammatory responses resulting in granuloma formation and other inflammatory disorders such as colitis. Infections typically involve the lung (pneumonia), lymph nodes (lymphadenitis), liver (abscess), bone (osteomyelitis), and skin (abscesses or cellulitis). Granulomas typically involve the genitourinary system (bladder) and gastrointestinal tract (often the pylorus initially, and later the esophagus, jejunum, ileum, cecum, rectum, and perirectal area). Some males with X-linked CGD have McLeod neuroacanthocytosis syndrome as the result of a contiguous gene deletion. While CGD may present anytime from infancy to late adulthood, the vast majority of affected individuals are diagnosed before age five years. Use of antimicrobial prophylaxis and therapy has greatly improved overall survival...."
pilonidal cyst,"Pilonidal disease is a frequent suppurative condition that occurs twice as often in men as in women, usually between the ages of 15 and 30. Pilonidal disease is located beneath the skin of the sacro-coccygeal region. It presents acutely as an abscess under tension while the chronic form gives rise to intermittent discharge from pilonidal sinus(es). Diagnosis is clinical and usually straightforward. In the large majority of cases, treatment is surgical but there is no consensus as to the 'ideal' technique. Acute abscess must be evacuated and an off-midline incision seems preferable. Excision is the standard definitive treatment but the choice of wide versus limited excision depends on the school of thought. The widespread practice in France is to leave the wound open, relying on postoperative healing by secondary intention. This technique has a low rate of recurrence but has the disadvantages of requiring local nursing care; the healing process is prolonged, usually associated with a temporary but prolonged cessation of activity. Primary wound closure techniques are less restrictive but their recurrence rate is probably higher. A direct midline suture is best after a small excision, but for a more extended wound, plastic reconstruction techniques are preferred; data in the literature favor asymmetric closure techniques such as those described by Karydakis and Bascom...."
pituitary disorder,"Empty sella is a pituitary disorder characterized by the herniation of the subarachnoid space within the sella turcica. This is often associated with a variable degree of flattening of the pituitary gland. Empty sella has to be distinguished in primary and secondary forms. Primary empty sella (PES) excludes any history of previous pituitary pathologies such as previous surgical, pharmacologic, or radiotherapy treatment of the sellar region. PES is considered an idiopathic disease and may be associated with idiopathic intracranial hypertension. Secondary empty sella, however, may occur after the treatment of pituitary tumors through neurosurgery or drugs or radiotherapy, after spontaneous necrosis (ischemia or hemorrhage) of chiefly adenomas, after pituitary infectious processes, pituitary autoimmune diseases, or brain trauma. Empty sella, in the majority of cases, is only a neuroradiological finding, without any clinical implication. However, empty sella syndrome is defined in the presence of pituitary hormonal dysfunction (more frequently hypopituitarism) and/or neurological symptoms due to the possible coexisting of idiopathic intracranial hypertension. Empty sella syndrome represents a peculiar clinical entity, characterized by heterogeneity both in clinical manifestations and in hormonal alterations, sometimes reaching severe extremes. For a proper diagnosis, management, and follow-up of empty sella syndrome, a multidisciplinary approach with the integration of endocrine, neurological, and ophthalmological experts is strongly advocated...."
placental abruption,"Placental abruption is the premature separation of the placenta from its uterine attachment before the delivery of a fetus. The clinical manifestations of abruption typically include vaginal bleeding and abdominal pain with a wide variety of abnormal fetal heart rate patterns. Clinical challenges arise when pregnant people with this condition present with profound vaginal bleeding, necessitating urgent delivery, especially when there is a concern for maternal and fetal compromise and coagulopathy. Abruption occurs in 0.6% to 1.2% of all pregnancies, with nearly half of abruption occurring at term gestations. An exposition of abruption at near-term (defined as the late preterm period from 34 0/7 to 36 6/7 weeks of gestation) and term (defined as ≥37 weeks of gestation) provides unique insights into its direct effects, as risks associated with preterm birth do not impact outcomes. Here, we explore the pathophysiology, epidemiology, and diagnosis of abruption. We discuss the interaction of chronic processes (decidual and uteroplacental vasculopathy) and acute processes (shearing forces applied to the abdomen) that underlie the pathophysiology. Risk factors for abruption and strengths of association are summarized. Sonographic findings of abruption and fetal heart rate tracings are presented. In addition, we propose a management algorithm for acute abruption that incorporates blood loss, vital signs, and urine output, among other factors. Lastly, we discuss blood component therapy, viscoelastic point-of-care testing, disseminated intravascular coagulopathy, and management of abruption complicated by fetal death. The review seeks to provide comprehensive, clinically focused guidance during a gestational age range when neonatal outcomes can often be favorable if rapid and evidence-based care is optimized...."
plantar fasciitis,"Plantar fasciitis, a chronic degenerative process that causes medial plantar heel pain, is responsible for approximately 1 million physician visits each year. Individuals with plantar fasciitis experience pain that is most intense during their first few steps of the day or after prolonged standing. The authors provide an overview of the diagnosis and management of a common problem encountered in the primary care setting. Routine imaging is not initially recommended for the evaluation of plantar fasciitis but may be required to rule out other pathologic conditions. Overall, plantar fasciitis carries a good prognosis when patients use a combination of several conservative treatment modalities. Occasionally, referral to a specialist may be necessary...."
pneumoconiosis,"Pneumoconiosis refers to a spectrum of pulmonary diseases caused by inhalation of mineral dust, usually as the result of certain occupations. The main pathological features include chronic pulmonary inflammation and progressive pulmonary fibrosis, which can eventually lead to death caused by respiratory and/or heart failure. Pneumoconiosis is widespread globally, seriously threatening global public health. Its high incidence and mortality lie in improper occupational protection, and in the lack of early diagnostic methods and effective treatments. This article reviews the epidemiology, safeguard procedures, diagnosis, and treatment of pneumoconiosis, and summarizes recent research advances and future research prospects...."
pneumothorax,"Pneumothorax is a common problem worldwide. Pneumothorax develops secondary to diverse aetiologies; in many cases, there may be no recognizable lung abnormality. The pathogenetic mechanism(s) causing spontaneous pneumothorax may be related to an interplay between lung-related abnormalities and environmental factors such as smoking. Tobacco smoking is a major risk factor for primary spontaneous pneumothorax; chronic obstructive pulmonary disease is most frequently associated with secondary spontaneous pneumothorax. This review article provides an overview of the historical perspective, epidemiology, classification, and aetiology of pneumothorax. It also aims to highlight current knowledge and understanding of underlying risks and pathophysiological mechanisms in pneumothorax development...."
poisoning due to antidepressants,"Antidepressants are commonly prescribed and used in the management of depression, anxiety disorders, and other psychiatric illnesses. Antidepressants used in therapeutic dosing ranges are associated with causing several adverse drug reactions including hepatotoxicity. Paroxetine, fluoxetine, fluvoxamine, citalopram, mirtazapine and venlafaxine are associated with reversible liver injury upon discontinuation of the agent. Patient cases of hepatotoxicity involving the use of nefazodone, trazodone, duloxetine, bupropion, and sertraline are linked to causing death in its users. Due to the idiosyncratic nature of hepatotoxicity, monitoring of liver function tests and immediate discontinuation upon abnormal lab findings or signs and symptoms of liver dysfunction are crucial since most cases of hepatic damage are reversible when detected early. Onset of antidepressant-associated hepatotoxicity varies from 5 days to 3 years. Antidepressant-induced liver injury can occur in the absence of identifiable, underlying risk factors such as cirrhosis and hepatitis infection; only a few cases of hepatic injury involve patients with chronic hepatitis infection. Some of these cases involve possible drug interactions between antidepressants and concomitant agents that increase the risk for liver injury. Understanding druginduced liver injury associated with antidepressants and the importance of safety monitoring is essential to optimize outcomes for antidepressant treatment...."
poisoning due to antipsychotics,To review evidence for the treatment of neuroleptic malignant syndrome (NMS) and to discuss how to rechallenge patients with neuroleptics when continued pharmacotherapy for chronic psychological illness is required....
post-traumatic stress disorder (ptsd),"Complex post-traumatic stress disorder (complex PTSD) is a severe mental disorder that emerges in response to traumatic life events. Complex PTSD is characterised by three core post-traumatic symptom clusters, along with chronic and pervasive disturbances in emotion regulation, identity, and relationships. Complex PTSD has been adopted as a new diagnosis in the ICD-11. Individuals with complex PTSD typically have sustained or multiple exposures to trauma, such as childhood abuse and domestic or community violence. The disorder has a 1-8% population prevalence and up to 50% prevalence in mental health facilities. Progress in diagnostics, assessment, and differentiation from post-traumatic stress disorder and borderline personality disorder is reported, along with assessment and treatment of children and adolescents. Studies recommend multicomponent therapies starting with a focus on safety, psychoeducation, and patient-provider collaboration, and treatment components that include self-regulatory strategies and trauma-focused interventions...."
primary kidney disease,"Primary Sjögren syndrome (pSS) is an autoimmune disorder characterized by lymphoplasmacytic infiltration of the exocrine (salivary and lachrymal) glands that results in sicca symptoms (dryness of the eyes and mouth). Systemic complications can occur in pSS, but renal involvement is rare, affecting <10% patients. The most frequent form of nephropathy in pSS is tubulointerstitial nephritis (TIN), in which infiltration of the kidney by plasma cells is a key feature and shows similarity to the lymphoplasmacytic infiltration of the salivary glands. Electrolyte disturbances may occur in pSS, such as renal distal tubular acidosis, diabetes insipidus, Gitelman syndrome or Fanconi syndrome. Glomerular involvement is less frequently detected in patients with pSS, but usually takes the form of membranoproliferative glomerulonephritis secondary to cryoglobulinaemia. The renal prognosis in patients with pSS and TIN or glomerular disease is usually favourable, but the risk of chronic kidney disease remains high in patients with TIN. Appropriate screening must be performed at least once a year in patients with systemic pSS in order to facilitate the early detection of renal complications. In this Review we discuss the epidemiology, pathophysiology, differential diagnosis and treatment of renal disease in pSS...."
psoriasis,"Psoriasis is a common, chronic papulosquamous skin disease occurring worldwide, presenting at any age, and leading to a substantial burden for individuals and society. It is associated with several important medical conditions, including depression, psoriatic arthritis, and cardiometabolic syndrome. Its most common form, chronic plaque or psoriasis vulgaris, is a consequence of genetic susceptibility, particularly in the presence of the HLA-C*06:02 risk allele, and of environmental triggers such as streptococcal infection, stress, smoking, obesity, and alcohol consumption. There are several phenotypes and research has separated pustular from chronic plaque forms. Immunological and genetic studies have identified IL-17 and IL-23 as key drivers of psoriasis pathogenesis. Immune targeting of these cytokines and of TNFα by biological therapies has revolutionised the care of severe chronic plaque disease. Psoriasis cannot currently be cured, but management should aim to minimise physical and psychological harm by treating patients early in the disease process, identifying and preventing associated multimorbidity, instilling lifestyle modifications, and employing a personalised approach to treatment...."
pulmonary hypertension,"Major advances in pulmonary arterial hypertension, pulmonary hypertension (PH) associated with lung disease, and chronic thromboembolic PH cast new light on the pathogenetic mechanisms, epidemiology, diagnostic approach, and therapeutic armamentarium for pulmonary vascular disease. Here, we summarize key basic, translational, and clinical PH reports, emphasizing findings that build on current state-of-the-art research. This review includes cutting-edge progress in translational pulmonary vascular biology, with a guide to the diagnosis of patients in clinical practice, incorporating recent PH definition revisions that continue emphasis on early detection of disease. PH management is reviewed including an overview of the evolving considerations for the approach to treatment of PH in patients with cardiopulmonary comorbidities, as well as a discussion of the groundbreaking sotatercept data for the treatment of pulmonary arterial hypertension...."
restless leg syndrome,"Restless legs syndrome (RLS) is characterized by an uncomfortable urge to move the legs while at rest, relief upon movement or getting up to walk, and worsened symptom severity at night. RLS may be primary (idiopathic) or secondary to pregnancy or a variety of systemic disorders, especially iron deficiency, and chronic renal insufficiency. Genetic predisposition with a family history is common. The pathogenesis of RLS remains unclear but is likely to involve central nervous system dopaminergic dysfunction, as well as other, undefined contributing mechanisms. Evaluation begins with a thorough history and examination, and iron measures, including ferritin and transferrin saturation, should be checked at presentation and with worsened symptoms, especially when augmentation develops. Augmentation is characterized by more intense symptom severity, earlier symptom occurrence, and often, symptom spread from the legs to the arms or other body regions. Some people with RLS have adequate symptom control with non-pharmacological measures such as massage or temperate baths. First-line management options include iron-replacement therapy in those with evidence for reduced body-iron stores or, alternatively, with prescribed gabapentin or pregabalin, and dopamine agonists such as pramipexole, ropinirole, and rotigotine. Second-line therapies include intravenous iron infusion in those who are intolerant of oral iron and/or those having augmentation with intense, severe RLS symptoms, and opioids including tramadol, oxycodone, and methadone. RLS significantly impacts patients' quality of life and remains a therapeutic area sorely in need of innovation and a further pipeline of new, biologically informed therapies...."
rheumatoid arthritis,"Rheumatoid arthritis is a chronic inflammatory joint disease, which can cause cartilage and bone damage as well as disability. Early diagnosis is key to optimal therapeutic success, particularly in patients with well-characterised risk factors for poor outcomes such as high disease activity, presence of autoantibodies, and early joint damage. Treatment algorithms involve measuring disease activity with composite indices, applying a treatment-to-target strategy, and use of conventional, biological, and newz non-biological disease-modifying antirheumatic drugs. After the treatment target of stringent remission (or at least low disease activity) is maintained, dose reduction should be attempted. Although the prospects for most patients are now favourable, many still do not respond to current therapies. Accordingly, new therapies are urgently required. In this Seminar, we describe current insights into genetics and aetiology, pathophysiology, epidemiology, assessment, therapeutic agents, and treatment strategies together with unmet needs of patients with rheumatoid arthritis...."
rocky mountain spotted fever,"Infectious causes of fever and rash pose a diagnostic challenge for the emergency provider. It is often difficult to discern rashes associated with rapidly progressive and life-threatening infections from benign exanthems, which comprise the majority of rashes seen in the emergency department. Physicians must also consider serious noninfectious causes of fever and rash. A correct diagnosis depends on an exhaustive history and head-to-toe skin examination as most emergent causes of fever and rash remain clinical diagnoses. A provisional diagnosis and immediate treatment with antimicrobials and supportive care are usually required prior to the return of confirmatory laboratory testing...."
rosacea,"Rosacea is a chronic inflammatory dermatosis mainly affecting the cheeks, nose, chin, and forehead. Rosacea is characterized by recurrent episodes of flushing or transient erythema, persistent erythema, phymatous changes, papules, pustules, and telangiectasia. The eyes may also be involved. Due to rosacea affecting the face, it has a profound negative impact on quality of life, self-esteem, and well-being. In addition to general skin care, there are several approved treatment options available for addressing these features, both topical and systemic. For some features, intense pulse light, laser, and surgery are of value. Recent advances in fundamental scientific research have underscored the roles of the innate and adaptive immune systems as well as neurovascular dysregulation underlying the spectrum of clinical features of rosacea. Endogenous and exogenous stimuli may initiate and aggravate several pathways in patients with rosacea. This review covers the new phenotype-based diagnosis and classification system reflecting pathophysiology, and new and emerging treatment options and approaches. We address new topical and systemic formulations, as well as recent evidence on treatment combinations. In addition, ongoing studies investigating novel therapeutic interventions will be summarized...."
salivary gland disorder,"A variety of diseases ranging from obstructions, infections, to benign and malignant tumors occur in salivary glands. The most common problem is painful blockage of ducts by stones that prevents drainage of saliva. Sialadenitis can be due to either infectious or noninfectious factors. Bacterial or viral infections are the most common causes of acute sialadenitis. Staphylococcus is the usual bacterial cause, whereas paramyxovirus (mumps) is the common viral cause. Eighty percent of salivary tumors are benign, whereas about 20% are malignant. Most tumors occur in the parotid gland and on the hard palate. Classifications, imaging, and suggested treatment are described...."
scleritis,"Scleritis is a rare painful ocular disorder, associated with severe ocular pain and tissue destruction. Although a majority of these cases are immune mediated and at least half of these are associated with systemic immune-mediated diseases, a smaller minority are due to infections of the sclera. The two conditions closely mimic each other, and a thorough knowledge of the subtle differences is necessary in order to reach a timely diagnosis. Diagnostic delay can lead to a poor outcome both due to the destruction caused by the uncontrolled infection and also due to propagation of the infection with the use of corticosteroids which may have been started for presumed immune mediated scleritis. In this review, we present the clinical features, etiological agents, and the differentiating features between immune and infectious scleritis. We also present diagnostic and management guidelines for managing scleral infection...."
seasonal allergies (hay fever),"Allergic rhinitis (AR) affects more than 400 million people worldwide, making it 1 of the most prevalent chronic diseases. Childhood AR is increasing, and almost half of patients with AR develop symptoms before age 6 years. Although a diagnosis of AR is associated with higher socioeconomic status, underserved and urban populations have more indoor aeroallergen sensitizations and are likely underdiagnosed with AR, further exacerbating health-care disparities. AR negatively impacts quality of life, school performance, and overall health outcomes. Untreated AR in children increases the risk for poor asthma control, increased asthma severity, and exacerbations. Many patients believe that they have seasonal allergies only but in reality have both perennial and seasonal AR, which may change the approach to allergen avoidance measures and treatment recommendations. Pharmacotherapy of AR has expanded, with many intranasal corticosteroids, intranasal antihistamines, and second-generation oral antihistamines approved for pediatric use. Allergen immunotherapy, including both subcutaneous and sublingual forms, are approved for children and are disease modifying, potentially reducing further allergen sensitization and progression to asthma. Many of the currently available biological therapies indicated for pediatric asthma and/or atopic diseases reduce AR symptoms as well. Children with moderate to severe or refractory AR or those with comorbidities should be referred to allergists for diagnostic testing and expanded management options, including immunotherapy and potential biological treatment...."
shingles (herpes zoster),"The Varicella-zoster virus (VZV) or human herpes virus 3 is a neurotropic human alpha herpes virus responsible for chickenpox/varicella and shingles/Herpes zoster (HZ). This review will focus on HZ. Since HZ is secondary to varicella, its incidence increases with age. In children and youngsters, HZ is rare and associated to metabolic and neoplastic disorders. In adults, advanced age, distress, other infections (such as AIDS or COVID-19), and immunosuppression are the most common risk factors. HZ reactivation has recently been observed after COVID-19 vaccination. The disease shows different clinical stages of variable clinical manifestations. Some of the manifestations bear a higher risk of complications. Among the possible complications, postherpetic neuralgia, a chronic pain disease, is one of the most frequent. HZ vasculitis is associated with morbidity and mortality. Renal and gastrointestinal complications have been reported. The cornerstone of treatment is early intervention with acyclovir or brivudine. Second-line treatments are available. Pain management is essential. For (secondary) prophylaxis, currently two HZV vaccines are available for healthy older adults, a live attenuated VZV vaccine and a recombinant adjuvanted VZV glycoprotein E subunit vaccine. The latter allows vaccination also in severely immunosuppressed patients. This review focuses on manifestations of HZ and its management. Although several articles have been published on HZ, the literature continues to evolve, especially in regard to patients with comorbidities and immunocompromised patients. VZV reactivation has also emerged as an important point of discussion during the COVID-19 pandemic, especially after vaccination. The objective of this review is to discuss current updates related to clinical presentations, complications, and management of HZ...."
sialoadenitis,"Salivary gland disorders include inflammatory, bacterial, viral, and neoplastic etiologies. The presentation can be acute, recurrent, or chronic. Acute suppurative sialadenitis presents as rapid-onset pain and swelling and is treated with antibiotics, salivary massage, hydration, and sialagogues such as lemon drops or vitamin C lozenges. Viral etiologies include mumps and human immunodeficiency virus, and treatment is directed at the underlying disease. Recurrent or chronic sialadenitis is more likely to be inflammatory than infectious; examples include recurrent parotitis of childhood and sialolithiasis. Inflammation is commonly caused by an obstruction such as a stone or duct stricture. Management is directed at relieving the obstruction. Benign and malignant tumors can occur in the salivary glands and usually present as a painless solitary neck mass. Diagnosis is made by imaging (e.g., ultrasonography, computed tomography, magnetic resonance imaging) and biopsy (initially with fine-needle aspiration). Overall, most salivary gland tumors are benign and can be treated with surgical excision...."
sickle cell anemia,"Sickle cell disease (SCD), which affects approximately 100,000 individuals in the USA and more than 3 million worldwide, is caused by mutations in the βb globin gene that result in sickle hemoglobin production. Sickle hemoglobin polymerization leads to red blood cell sickling, chronic hemolysis and vaso-occlusion. Acute and chronic pain as well as end-organ damage occur throughout the lifespan of individuals living with SCD resulting in significant disease morbidity and a median life expectancy of 43 years in the USA. In this review, we discuss advances in the diagnosis and management of four major complications: acute and chronic pain, cardiopulmonary disease, central nervous system disease and kidney disease. We also discuss advances in disease-modifying and curative therapeutic options for SCD. The recent availability of L-glutamine, crizanlizumab and voxelotor provides an alternative or supplement to hydroxyurea, which remains the mainstay for disease-modifying therapy. Five-year event-free and overall survival rates remain high for individuals with SCD undergoing allogeneic hematopoietic stem cell transplant using matched sibling donors. However, newer approaches to graft-versus-host (GVHD) prophylaxis and the incorporation of post-transplant cyclophosphamide have improved engraftment rates, reduced GVHD and have allowed for alternative donors for individuals without an HLA-matched sibling. Despite progress in the field, additional longitudinal studies, clinical trials as well as dissemination and implementation studies are needed to optimize outcomes in SCD...."
sickle cell crisis,"Sickle cell disease (SCD) is a group of inherited red blood cell disorders affecting about 1 in 500 African American children and 1 in 36,000 Hispanic American children. SCD results in anemia and a ""sickle cell crisis"" (SCC). The main clinical feature of sickle cell disease is the ""acute painful crisis,"" which often requires hospitalization. The term ""sickle cell crisis"" is used to describe several acute conditions such as the vaso-occlusive crisis (acute painful crisis), aplastic crisis, splenic sequestration crisis, hyperhemolytic crisis, hepatic crisis, dactylitis, and acute chest syndrome. Other acute complications include pneumonia, meningitis, sepsis and osteomyelitis, stroke, avascular necrosis, priapism, and venous thromboembolism.  SCC is primarily characterized by severe acute pain and impaired end-organ function. Symptoms of SCC depend on the areas involved. For instance, a vaso-occlusive crisis, which most patients with SCD experience by the age of 6 years, can cause severe pain and swelling of both hands and feet (ie, dactylitis), primarily in young children. Pain can begin from any part of the body but frequently affects the extremities, back, and chest areas. SCD is diagnosed when laboratory evaluation identifies the presence of abnormal hemoglobin S (HbS). Genetic testing is also used to confirm the diagnosis. In a patient with SCC, evaluation is primarily performed to determine the severity of the acute disease flare. Treatment and management of SCD primarily consists of managing symptoms and associated complications.  About a third of sickle cell disease-related deaths occur within the home setting or 24 hours of hospitalization.[5]] Generally, adults are most likely to die from chronic complications, while children die acutely. The foremost causes of death in sickle cell disease are vaso-occlusive crises, cardiopulmonary threats, infections, and renal issues. Hypoxemia only compounds these problems.   ..."
skin polyp,"Chronic rhinosinusitis (CRS) is known to affect around 5 % of the total population, with major impact on the quality of life of those severely affected (1). Despite a substantial burden on individuals, society and health economies, CRS often remains underdiagnosed, under-estimated and under-treated (2). International guidelines like the European Position Paper on Rhinosinusitis and Nasal Polyps (EPOS) (3) and the International Consensus statement on Allergy and Rhinology: Rhinosinusitis 2021 (ICAR) (4) offer physicians insight into the recommended treatment options for CRS, with an overview of effective strategies and guidance of diagnosis and care throughout the disease journey of CRS...."
spinal stenosis,"Narrowing of the spinal canal or foramina is a common finding in spine imaging of the elderly. Only when symptoms of neurogenic claudication and/or cervical myelopathy are present is a spinal stenosis diagnosis made, either of the lumbar spine, cervical spine or both (only very rarely is the thoracic spine involved). Epidemiological data suggest an incidence of 1 case per 100 000 for cervical spine stenosis and 5 cases per 100 000 for lumbar spine stenosis. Cervical myelopathy in patients over 50 years of age is most commonly due to cervical spine stenosis. Symptomatic spinal narrowing can be congenital, or, more frequently, acquired. The latter may be the result of systemic illneses, namely endocrinopathies (such as Cushing disease or acromegaly), calcium metabolism disorders (including hyporarthyroidism and Paget disease), inflammatory diseases (such as rheumathoid arthritis) and infectious diseases. Physical examination is more often abnormal in cervical spondylotic myeloptahy whereas in lumbar spinal stenosis it is typically normal. Therefore spinal stenosis diagnosis relies on the clinical picture corresponding to conspicuous causative changes identified by imaging techniques, most importantly CT and MRI. Other ancillary diagnostic tests are more likely to be yielding for establishing a differential diagnosis, namely vascular claudication. Most patients have a progressive presentation and are offered non operative management as first treatment strategy. Surgery is indicated for progressive intolerable symptoms or, more rarely, for the neurologically catastrophic initial presentations. Surgical strategy consists mainly of decompression (depending on the anatomical level and type of narrowing: laminectomy, foraminotomy, discectomy, corporectomy) with additional instrumentation should spinal stability and sagittal balance be at risk. For cervical spine stenosis the main objective of surgery is to halt disease progression. There is class 1b evidence that surgery is of benefit for lumbar stenosis at least in the short term...."
sprain or strain,"Ankle sprains are highly prevalent with high risk of recurrence. Consequently, there are a significant number of research reports examining strategies for treating and preventing acute and recurrent sprains (otherwise known as chronic ankle instability (CAI)), with a coinciding proliferation of review articles summarising these reports...."
strep throat,"The European Society for Clinical Microbiology and Infectious Diseases established the Sore Throat Guideline Group to write an updated guideline to diagnose and treat patients with acute sore throat. In diagnosis, Centor clinical scoring system or rapid antigen test can be helpful in targeting antibiotic use. The Centor scoring system can help to identify those patients who have higher likelihood of group A streptococcal infection. In patients with high likelihood of streptococcal infections (e.g. 3-4 Centor criteria) physicians can consider the use of rapid antigen test (RAT). If RAT is performed, throat culture is not necessary after a negative RAT for the diagnosis of group A streptococci. To treat sore throat, either ibuprofen or paracetamol are recommended for relief of acute sore throat symptoms. Zinc gluconate is not recommended to be used in sore throat. There is inconsistent evidence of herbal treatments and acupuncture as treatments for sore throat. Antibiotics should not be used in patients with less severe presentation of sore throat, e.g. 0-2 Centor criteria to relieve symptoms. Modest benefits of antibiotics, which have been observed in patients with 3-4 Centor criteria, have to be weighed against side effects, the effect of antibiotics on microbiota, increased antibacterial resistance, medicalisation and costs. The prevention of suppurative complications is not a specific indication for antibiotic therapy in sore throat. If antibiotics are indicated, penicillin V, twice or three times daily for 10 days is recommended. At the present, there is no evidence enough that indicates shorter treatment length...."
stye,"Hordeolum and chalazion are the most frequent inflammatory eyelid tumors. They can occur in association with underlying diseases causing Meibomian gland dysfunction and/or chronic blepharitis. Due to the typical morphological features and clinical course, the diagnosis can mostly be clinically established. The majority of these lesions resolve spontaneously over time. In some instances, surgical intervention is unavoidable. In persistent, recurrent or clinically atypical cases malignant tumors must be excluded as a differential diagnosis by excisional biopsy and histopathological assessment...."
tension headache,"Tension-type headache (TTH) is the most prevalent neurological disorder worldwide and is characterized by recurrent headaches of mild to moderate intensity, bilateral location, pressing or tightening quality, and no aggravation by routine physical activity. Diagnosis is based on headache history and the exclusion of alternative diagnoses, with clinical criteria provided by the International Classification of Headache Disorders, third edition. Although the biological underpinnings remain unresolved, it seems likely that peripheral mechanisms are responsible for the genesis of pain in TTH, whereas central sensitization may be involved in transformation from episodic to chronic TTH. Pharmacological therapy is the mainstay of clinical management and can be divided into acute and preventive treatments. Simple analgesics have evidence-based effectiveness and are widely regarded as first-line medications for the acute treatment of TTH. Preventive treatment should be considered in individuals with frequent episodic and chronic TTH, and if simple analgesics are ineffective, poorly tolerated or contraindicated. Recommended preventive treatments include amitriptyline, venlafaxine and mirtazapine, as well as some selected non-pharmacological therapies. Despite the widespread prevalence and associated disability of TTH, little progress has been made since the early 2000s owing to a lack of attention and resource allocation by scientists, funding bodies and the pharmaceutical industry...."
tonsillitis,"Acute tonsillitis is an inflammatory process of the tonsillar tissues and is usually infectious in nature. Acute infections of the palatine tonsils predominantly occur in school-aged children, but patients of any age may be affected. Tonsillitis of viral origin is usually treated with supportive care. Bacterial tonsillitis is most commonly caused by Streptococcus pyogenes. Polymicrobial infections and viral pathogens are also important sources of infection. Penicillins remain the treatment of choice for S. pyogenes tonsillitis, and augmented aminopenicillins have gained utility in concert with the increasing incidence of beta-lactamase producing bacteria. We describe the anatomic features and the immunologic function of the palatine tonsils, including a detailed discussion of history and physical examination findings, treatment recommendations, and possible complications of acute tonsillitis. Establishing an accurate diagnosis and initiating appropriate treatment are key components of managing this common pathologic process...."
tourette syndrome,"Tourette syndrome is a chronic neurodevelopmental disorder characterised by motor and phonic tics that can substantially diminish the quality of life of affected individuals. Evaluating and treating Tourette syndrome is complex, in part due to the heterogeneity of symptoms and comorbidities between individuals. The underlying pathophysiology of Tourette syndrome is not fully understood, but recent research in the past 5 years has brought new insights into the genetic variations and the alterations in neurophysiology and brain networks contributing to its pathogenesis. Treatment options for Tourette syndrome are expanding with novel pharmacological therapies and increased use of deep brain stimulation for patients with symptoms that are refractory to pharmacological or behavioural treatments. Potential predictors of patient responses to therapies for Tourette syndrome, such as specific networks modulated during deep brain stimulation, can guide clinical decisions. Multicentre data sharing initiatives have enabled several advances in our understanding of the genetics and pathophysiology of Tourette syndrome and will be crucial for future large-scale research and in refining effective treatments...."
trichiasis,"Trachoma is the most common infectious cause of blindness. Repeated episodes of infection with Chlamydia trachomatis in childhood lead to severe conjunctival inflammation, scarring, and potentially blinding inturned eyelashes (trichiasis or entropion) in later life. Trachoma occurs in resource-poor areas with inadequate hygiene, where children with unclean faces share infected ocular secretions. Much has been learnt about the epidemiology and pathophysiology of trachoma. Integrated control programmes are implementing the SAFE Strategy: surgery for trichiasis, mass distribution of antibiotics, promotion of facial cleanliness, and environmental improvement. This strategy has successfully eliminated trachoma in several countries and global efforts are underway to eliminate blinding trachoma worldwide by 2020...."
varicose veins,"Varicose veins are twisted, dilated veins most commonly located on the lower extremities. The exact pathophysiology is debated, but it involves a genetic predisposition, incompetent valves, weakened vascular walls, and increased intravenous pressure. Risk factors include family history of venous disease; female sex; older age; chronically increased intra-abdominal pressure due to obesity, pregnancy, chronic constipation, or a tumor; and prolonged standing. Symptoms of varicose veins include a heavy, achy feeling and an itching or burning sensation; these symptoms worsen with prolonged standing. Potential complications include infection, leg ulcers, stasis changes, and thrombosis. Conservative treatment options include external compression; lifestyle modifications, such as avoidance of prolonged standing and straining, exercise, wearing nonrestrictive clothing, modification of cardiovascular risk factors, and interventions to reduce peripheral edema; elevation of the affected leg; weight loss; and medical therapy. There is not enough evidence to determine if compression stockings are effective in the treatment of varicose veins in the absence of active or healed venous ulcers. Interventional treatments include external laser thermal ablation, endovenous thermal ablation, endovenous sclerotherapy, and surgery. Although surgery was once the standard of care, it largely has been replaced by endovenous thermal ablation, which can be performed under local anesthesia and may have better outcomes and fewer complications than other treatments. Existing evidence and clinical guidelines suggest that a trial of compression therapy is not warranted before referral for endovenous thermal ablation, although it may be necessary for insurance coverage...."
